City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Yatou,CN,2021-09-23 01:11:40,37.15,122.3833,73.2,52,53,2.71
274,Ambilobe,MG,2021-09-23 01:11:40,-13.2,49.05,68.07,79,17,4.68
275,Peace River,CA,2021-09-23 01:11:40,56.2501,-117.286,60.73,36,29,18.25
276,Prince Rupert,CA,2021-09-23 01:11:41,54.3161,-130.3201,51.33,74,100,1.14
277,Sayat,TM,2021-09-23 01:11:41,38.7839,63.8803,65.46,18,0,9.01
278,Greenville,US,2021-09-23 01:08:38,35.6127,-77.3663,75.97,95,75,6.91
279,Catia La Mar,VE,2021-09-23 01:11:42,10.6038,-67.0303,84.4,70,20,1.14
280,Saint-Paul,RE,2021-09-23 01:11:42,-21.0096,55.2707,66.74,74,5,3.33
281,Farafangana,MG,2021-09-23 01:11:43,-22.8167,47.8333,69.78,83,77,5.59
282,Chernyshevskiy,RU,2021-09-23 01:08:59,63.0128,112.4714,38.41,70,64,3.02
283,Kenitra,MA,2021-09-23 01:11:43,34.261,-6.5802,69.84,91,48,7.29
284,Leh,IN,2021-09-23 01:11:44,34.1667,77.5833,50.9,57,90,4.9
285,Badvel,IN,2021-09-23 01:11:44,14.75,79.05,78.21,80,100,4.38
286,Chapais,CA,2021-09-23 01:11:44,49.7834,-74.8492,42.66,80,100,6.51
287,Chotila,IN,2021-09-23 01:11:45,22.4167,71.1833,75.42,85,12,9.93
288,Caravelas,BR,2021-09-23 01:11:46,-17.7125,-39.2481,73.15,63,100,14.54
289,Batagay,RU,2021-09-23 01:11:46,67.6333,134.6333,45.36,54,83,3.56
290,Sitka,US,2021-09-23 01:11:47,57.0531,-135.33,51.69,58,90,8.05
291,Tripoli,LY,2021-09-23 01:11:47,32.8752,13.1875,82.85,50,3,5.82
